recency,frequency,monetary,R_score,F_score,M_score,RFM_Cell,segment
112,1,129.9,4,1,4,414,Regular Customer
115,1,18.9,4,1,1,411,Regular Customer
537,1,69.0,1,1,2,112,At Risk
321,1,25.99,2,1,1,211,Regular Customer
288,1,180.0,2,1,5,215,Regular Customer
146,1,154.0,4,1,4,414,Regular Customer
132,1,27.99,4,1,1,411,Regular Customer
183,1,382.0,3,1,5,315,Regular Customer
543,1,135.0,1,1,4,114,Regular Customer
170,1,104.9,4,1,3,413,Regular Customer
408,1,13.9,1,1,1,111,At Risk
283,1,79.0,2,1,3,213,Regular Customer
159,1,49.95,4,1,2,412,Regular Customer
129,1,64.89,4,1,2,412,Regular Customer
384,1,76.99,1,1,3,113,Regular Customer
335,1,35.0,2,1,1,211,Regular Customer
260,1,13.9,3,1,1,311,Regular Customer
234,1,28.9,3,1,1,311,Regular Customer
377,1,229.8,2,1,5,215,Regular Customer
66,1,59.9,5,1,2,512,Regular Customer
9,1,14.96,5,1,1,511,Regular Customer
101,1,12.88,4,1,1,411,Regular Customer
35,1,285.8,5,1,5,515,Regular Customer
415,1,299.0,1,1,5,115,Regular Customer
177,1,49.95,4,1,2,412,Regular Customer
363,1,170.0,2,1,4,214,Regular Customer
585,1,59.99,1,1,2,112,At Risk
493,1,269.0,1,1,5,115,Regular Customer
428,1,174.33,1,1,4,114,Regular Customer
390,1,99.99,1,1,3,113,Regular Customer
316,1,129.9,2,1,4,214,Regular Customer
223,1,88.0,3,1,3,313,Regular Customer
27,1,59.8,5,1,2,512,Regular Customer
33,1,74.5,5,1,3,513,Regular Customer
498,1,47.9,1,1,2,112,At Risk
378,1,48.79,2,1,2,212,Regular Customer
5,1,136.89000000000001,5,1,4,514,Regular Customer
33,1,22.32,5,1,1,511,Regular Customer
188,1,12.9,3,1,1,311,Regular Customer
200,1,79.9,3,1,3,313,Regular Customer
121,1,159.99,4,1,4,414,Regular Customer
426,1,24.88,1,1,1,111,At Risk
49,1,151.9,5,1,4,514,Regular Customer
101,1,9.0,4,1,1,411,Regular Customer
265,1,89.99,3,1,3,313,Regular Customer
68,1,39.9,5,1,1,511,Regular Customer
528,1,24.88,1,1,1,111,At Risk
521,1,176.99,1,1,4,114,Regular Customer
64,1,116.25,5,1,4,514,Regular Customer
154,1,89.9,4,1,3,413,Regular Customer
21,1,68.9,5,1,2,512,Regular Customer
89,1,39.5,5,1,1,511,Regular Customer
37,1,177.9,5,1,4,514,Regular Customer
158,1,37.9,4,1,1,411,Regular Customer
259,1,274.0,3,1,5,315,Regular Customer
235,1,95.9,3,1,3,313,Regular Customer
307,1,237.8,2,1,5,215,Regular Customer
184,1,199.9,3,1,5,315,Regular Customer
325,1,103.98,2,1,3,213,Regular Customer
575,1,49.9,1,1,2,112,At Risk
267,1,23.99,3,1,1,311,Regular Customer
302,1,196.99,2,1,5,215,Regular Customer
226,1,19.49,3,1,1,311,Regular Customer
464,1,115.0,1,1,4,114,Regular Customer
140,1,44.99,4,1,2,412,Regular Customer
404,1,119.9,1,1,4,114,Regular Customer
212,1,97.9,3,1,3,313,Regular Customer
196,1,92.9,3,1,3,313,Regular Customer
305,1,59.9,2,1,2,212,Regular Customer
366,1,49.99,2,1,2,212,Regular Customer
46,1,514.9,5,1,5,515,Regular Customer
434,1,29.9,1,1,1,111,At Risk
693,1,128.9,1,1,4,114,Regular Customer
44,1,45.0,5,1,2,512,Regular Customer
65,1,350.0,5,1,5,515,Regular Customer
52,1,188.0,5,1,5,515,Regular Customer
